iShares Core S&P 500 ETF
Fund Holdings as of,"May 07, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"1,108,550,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"TMUS","T MOBILE US INC","Communication","Equity","1,191,220,081.20","0.15","1,191,220,081.20","6,133,986.00","194.20","United States","NASDAQ","USD","1.00","USD","-"
"BX","BLACKSTONE INC","Financials","Equity","1,185,709,214.30","0.15","1,185,709,214.30","9,692,710.00","122.33","United States","NYSE","USD","1.00","USD","-"
"BK","BANK OF NEW YORK MELLON CORP","Financials","Equity","1,164,461,099.69","0.14","1,164,461,099.69","8,910,101.00","130.69","United States","NYSE","USD","1.00","USD","-"
"WMB","WILLIAMS INC","Energy","Equity","1,153,356,205.55","0.14","1,153,356,205.55","15,810,229.00","72.95","United States","NYSE","USD","1.00","USD","-"
"ICE","INTERCONTINENTAL EXCHANGE INC","Financials","Equity","1,147,736,018.78","0.14","1,147,736,018.78","7,352,098.00","156.11","United States","NYSE","USD","1.00","USD","-"
"PNC","PNC FINANCIAL SERVICES GROUP INC","Financials","Equity","1,146,671,357.22","0.14","1,146,671,357.22","5,229,018.00","219.29","United States","NYSE","USD","1.00","USD","-"
"GD","GENERAL DYNAMICS CORP","Industrials","Equity","1,142,580,085.92","0.14","1,142,580,085.92","3,285,542.00","347.76","United States","NYSE","USD","1.00","USD","-"
"FCX","FREEPORT MCMORAN INC","Materials","Equity","1,127,733,600.95","0.14","1,127,733,600.95","18,606,395.00","60.61","United States","NYSE","USD","1.00","USD","-"
"ADP","AUTOMATIC DATA PROCESSING INC","Industrials","Equity","1,115,994,007.97","0.14","1,115,994,007.97","5,212,733.00","214.09","United States","NASDAQ","USD","1.00","USD","-"
"USB","US BANCORP","Financials","Equity","1,113,062,367.01","0.14","1,113,062,367.01","20,124,071.00","55.31","United States","NYSE","USD","1.00","USD","-"
"JCI","JOHNSON CONTROLS INTERNATIONAL PLC","Industrials","Equity","1,103,408,923.50","0.14","1,103,408,923.50","7,923,942.00","139.25","United States","NYSE","USD","1.00","USD","-"
"AMT","AMERICAN TOWER REIT CORP","Real Estate","Equity","1,089,537,432.10","0.13","1,089,537,432.10","6,060,730.00","179.77","United States","NYSE","USD","1.00","USD","-"
"BSX","BOSTON SCIENTIFIC CORP","Health Care","Equity","1,086,120,862.87","0.13","1,086,120,862.87","19,199,591.00","56.57","United States","NYSE","USD","1.00","USD","-"
"CSX","CSX CORP","Industrials","Equity","1,070,341,777.44","0.13","1,070,341,777.44","24,074,264.00","44.46","United States","NASDAQ","USD","1.00","USD","-"
"ELV","ELEVANCE HEALTH INC","Health Care","Equity","1,065,552,147.32","0.13","1,065,552,147.32","2,857,321.00","372.92","United States","NYSE","USD","1.00","USD","-"
"WM","WASTE MANAGEMENT INC","Industrials","Equity","1,063,842,921.15","0.13","1,063,842,921.15","4,803,987.00","221.45","United States","NYSE","USD","1.00","USD","-"
"FDX","FEDEX CORP","Industrials","Equity","1,052,762,642.46","0.13","1,052,762,642.46","2,800,422.00","375.93","United States","NYSE","USD","1.00","USD","-"
"MRSH","MARSH INC","Financials","Equity","1,040,613,944.78","0.13","1,040,613,944.78","6,267,626.00","166.03","United States","NYSE","USD","1.00","USD","-"
"ORLY","OREILLY AUTOMOTIVE INC","Consumer Discretionary","Equity","1,030,878,020.30","0.13","1,030,878,020.30","10,899,535.00","94.58","United States","NASDAQ","USD","1.00","USD","Jan 01, 1970"
"EMR","EMERSON ELECTRIC","Industrials","Equity","1,026,542,057.64","0.13","1,026,542,057.64","7,275,796.00","141.09","United States","NYSE","USD","1.00","USD","-"
"SLB","SLB NV","Energy","Equity","1,026,025,092.00","0.13","1,026,025,092.00","19,358,964.00","53.00","United States","NYSE","USD","1.00","USD","-"
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Consumer Staples","Equity","1,017,444,661.35","0.12","1,017,444,661.35","16,595,085.00","61.31","United States","NASDAQ","USD","1.00","USD","-"
"MAR","MARRIOTT INTERNATIONAL INC CLASS A","Consumer Discretionary","Equity","1,002,403,934.70","0.12","1,002,403,934.70","2,847,334.00","352.05","United States","NASDAQ","USD","1.00","USD","-"
"MPWR","MONOLITHIC POWER SYSTEMS INC","Information Technology","Equity","993,735,761.64","0.12","993,735,761.64","630,559.00","1,575.96","United States","NASDAQ","USD","1.00","USD","-"
"CIEN","CIENA CORP","Information Technology","Equity","982,442,329.00","0.12","982,442,329.00","1,823,525.00","538.76","United States","NYSE","USD","1.00","USD","-"
"MMM","3M","Industrials","Equity","980,196,031.25","0.12","980,196,031.25","6,818,755.00","143.75","United States","NYSE","USD","1.00","USD","-"
"CRH","CRH PUBLIC LIMITED PLC","Materials","Equity","977,344,797.66","0.12","977,344,797.66","8,677,482.00","112.63","United States","NYSE","USD","1.00","USD","-"
"CI","CIGNA","Health Care","Equity","968,830,331.76","0.12","968,830,331.76","3,410,894.00","284.04","United States","NYSE","USD","1.00","USD","-"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Industrials","Equity","957,669,312.60","0.12","957,669,312.60","9,567,126.00","100.10","United States","NYSE","USD","1.00","USD","-"
"SHW","SHERWIN WILLIAMS","Materials","Equity","955,724,703.01","0.12","955,724,703.01","2,984,681.00","320.21","United States","NYSE","USD","1.00","USD","-"
"NOC","NORTHROP GRUMMAN CORP","Industrials","Equity","953,842,085.10","0.12","953,842,085.10","1,727,130.00","552.27","United States","NYSE","USD","1.00","USD","-"
